result	x	y	cls_subject1	cls_p1	cls_subject2	cls_p2	cls_subject3	cls_p3	covid	KAKEN	freq_word	csize
3366_	-1.0607381872144415	-0.3291273974260837	2700:Medicine	0.456066945606695	1700:Computer Science	0.209205020920502	2200:Engineering	0.096234309623431	TRUE	FALSE	covid-19, coronavirus, chest, ct, deep	111
3389_	-2.0295306522314966	-0.27694789264774183	2700:Medicine	0.65	1300:Biochemistry, Genetics and Molecular Biology	0.175	2400:Immunology and Microbiology	0.05	TRUE	FALSE	covid-19, smoking, associated, disease, expression	21
3405_	-2.3833328606391775	0.3263647459525123	2700:Medicine	0.736842105263158	2400:Immunology and Microbiology	0.263157894736842			TRUE	FALSE	sars-cov-2, detection, abbott, comparison, assays	14
3419_	-1.4059088553145118	-0.07716560273165288	2700:Medicine	0.577777777777778	1300:Biochemistry, Genetics and Molecular Biology	0.222222222222222	2400:Immunology and Microbiology	0.155555555555556	TRUE	FALSE	sars-cov-2, performance, antibodies, assays, immunoassays	21
342_	-2.6189211033322866	-0.20683234589937657	2700:Medicine	0.684210526315789	1300:Biochemistry, Genetics and Molecular Biology	0.105263157894737	2300:Environmental Science	0.0526315789473684	TRUE	FALSE	thrombocytopenia, vaccination, thrombosis, chadox1, immune	12
3431_	-2.3983607378256258	3.1643898916095887	1400:Business, Management and Accounting	0.419354838709677	3200:Psychology	0.290322580645161	3300:Social Sciences	0.161290322580645	FALSE	FALSE	knowledge, hiding, role, hiding:, moderating	10
34397_	2.9209303844813026	-5.626360772937063	3100:Physics and Astronomy	0.653846153846154	2500:Materials Science	0.346153846153846			FALSE	FALSE	entanglement, quantum, transition, circuits, many-body	17
346_	-2.5858815457649684	-1.8980786415841826	1300:Biochemistry, Genetics and Molecular Biology	0.458333333333333	2700:Medicine	0.375	1000:Multidisciplinary	0.125	FALSE	TRUE	clonal, hematopoiesis, mutations, aortic, cardiovascular	14
3467_	3.8309869781661283	-2.185060705853888	2600:Mathematics	0.4	3100:Physics and Astronomy	0.233333333333333	2200:Engineering	0.166666666666667	FALSE	FALSE	equation, soliton, solutions, molecules, lump	13
3490_	-1.8745004162056924	-1.27998272103334	2700:Medicine	0.333333333333333	2800:Neuroscience	0.333333333333333	1000:Multidisciplinary	0.0909090909090909	FALSE	TRUE	gut, parkinson's, disease, microbiota, metabolism	16
3504_	-1.4550553100111743	-0.9474143439629537	2400:Immunology and Microbiology	0.387096774193548	1300:Biochemistry, Genetics and Molecular Biology	0.268817204301075	2700:Medicine	0.204301075268817	FALSE	TRUE	gut, viral, phage, bacteriophage, bacteriophages	52
3512_	0.38532153676860875	0.2501603684740133	2600:Mathematics	0.335051546391753	3100:Physics and Astronomy	0.304123711340206	2200:Engineering	0.216494845360825	TRUE	FALSE	fractional, equation, new, model, solutions	128
3543_	-2.2175350791077686	0.30571766323999744	2700:Medicine	0.227272727272727	2900:Nursing	0.227272727272727	1100:Agricultural and Biological Sciences	0.136363636363636	TRUE	FALSE	covid-19, physical, activity, pandemic, children	27
35448_	-2.9204204902507995	-1.4597830498005846	3000:Pharmacology, Toxicology and Pharmaceutics	0.692307692307692	1100:Agricultural and Biological Sciences	0.0769230769230769	1300:Biochemistry, Genetics and Molecular Biology	0.0769230769230769	FALSE	TRUE	2019/20:, concise, guide, pharmacology, updated	10
3545_	-2.4265760643537084	-0.4886078641475089	2700:Medicine	0.625	2900:Nursing	0.178571428571429	1300:Biochemistry, Genetics and Molecular Biology	0.160714285714286	TRUE	FALSE	covid-19, obesity, patients, risk, factor	20
3560_	-1.4218071704860151	-1.372502192019924	2700:Medicine	0.583333333333333	1300:Biochemistry, Genetics and Molecular Biology	0.25	1700:Computer Science	0.0555555555555556	FALSE	FALSE	deep, cancer, learning, digital, pathology	18
3561_	-2.632614675722444	-3.6973796505880254	2700:Medicine	0.863636363636364	1300:Biochemistry, Genetics and Molecular Biology	0.136363636363636			FALSE	FALSE	endometrial, adjuvant, trial, cancer, cancer:	12
3565_	3.6192424957892864	-1.1197319974417073	2200:Engineering	0.527777777777778	2500:Materials Science	0.305555555555556	3100:Physics and Astronomy	0.111111111111111	FALSE	FALSE	nanocomposites, nanotubes, carbon, conductivity, interphase	12
3566_	1.6120962322910006	0.5635841320737021	2500:Materials Science	0.580645161290323	1300:Biochemistry, Genetics and Molecular Biology	0.112903225806452	1600:Chemistry	0.0967741935483871	FALSE	FALSE	sugar, palm, properties, effect, starch	18
3573_	-2.8742268679365277	-0.5307531874286366	2700:Medicine	0.588235294117647	1300:Biochemistry, Genetics and Molecular Biology	0.176470588235294	2400:Immunology and Microbiology	0.117647058823529	TRUE	FALSE	covid-19, statins, among, infection, patients	10
3607_	-1.29967197515918	-0.6931053123655425	1300:Biochemistry, Genetics and Molecular Biology	0.515625	2400:Immunology and Microbiology	0.203125	1600:Chemistry	0.0625	FALSE	FALSE	sars-cov-2, nucleocapsid, rna, protein, phase	22
3610_	2.3582930702513116	-3.3334118618723934	3100:Physics and Astronomy	0.575593952483801	1900:Earth and Planetary Sciences	0.389848812095032	1000:Multidisciplinary	0.0183585313174946	FALSE	TRUE	black, binary, neutron, star, dark	553
3612_	-0.8832210271939209	-1.1863900783565184	1300:Biochemistry, Genetics and Molecular Biology	0.655737704918033	1700:Computer Science	0.0983606557377049	2600:Mathematics	0.0983606557377049	FALSE	FALSE	protein, prediction, deep, structure, casp13	19
3650_	1.9866025654720727	3.5292743261515134	1700:Computer Science	0.470588235294118	2200:Engineering	0.470588235294118	1500:Chemical Engineering	0.0294117647058824	FALSE	FALSE	estimation, protocol, state, complex, horizon	10
3652_	2.070496387042941	4.0358582102332665	2200:Engineering	0.458333333333333	1700:Computer Science	0.444444444444444	2600:Mathematics	0.0694444444444444	FALSE	FALSE	systems, control, jump, semi-markov, approach	16
3666_	-1.933925056761949	-0.8299865058161433	1300:Biochemistry, Genetics and Molecular Biology	0.37037037037037	2700:Medicine	0.37037037037037	2500:Materials Science	0.0555555555555556	TRUE	FALSE	mesenchymal, cell, stem, covid-19, treatment	20
3669_	0.3088500162527459	0.6065614405561682	2300:Environmental Science	0.56441717791411	2100:Energy	0.122699386503067	3300:Social Sciences	0.0797546012269939	FALSE	FALSE	energy, economic, ecological, environmental, evidence	88
3670_	-0.48338831486432376	1.499295424706705	2300:Environmental Science	0.333333333333333	1400:Business, Management and Accounting	0.176470588235294	2000:Economics, Econometrics and Finance	0.156862745098039	TRUE	FALSE	energy, environmental, carbon, china, consumption-based	18
372_	-2.2609524268380845	-0.8611774497577523	2700:Medicine	0.961352657004831	1300:Biochemistry, Genetics and Molecular Biology	0.0193236714975845	3000:Pharmacology, Toxicology and Pharmaceutics	0.00966183574879227	TRUE	FALSE	covid-19, liver, patients, disease, transplant	104
3731_	-0.5998607580910177	-2.9024372214784577	2500:Materials Science	0.392156862745098	1300:Biochemistry, Genetics and Molecular Biology	0.196078431372549	2200:Engineering	0.156862745098039	FALSE	FALSE	3d, extracellular, decellularized, matrix, muscle	10
377_	-1.1133010622283772	-0.5144487544997103	2700:Medicine	0.540540540540541	1300:Biochemistry, Genetics and Molecular Biology	0.297297297297297	1700:Computer Science	0.0540540540540541	FALSE	TRUE	classification, neural, skin, deep, melanoma	16
378_	-2.42740509958204	-1.4003888082317522	2700:Medicine	0.75	2400:Immunology and Microbiology	0.180555555555556	1300:Biochemistry, Genetics and Molecular Biology	0.0694444444444444	FALSE	TRUE	atopic, dermatitis, patients, phase, trial	42
3830_	0.9262801085756703	-0.6677321918917742	2500:Materials Science	0.342857142857143	1600:Chemistry	0.171428571428571	3100:Physics and Astronomy	0.171428571428571	FALSE	FALSE	based, determination, amplified, nanocomposite, sensor	24
384_	-2.0776358725798056	-0.9477310512874796	2800:Neuroscience	0.390625	2700:Medicine	0.375	1300:Biochemistry, Genetics and Molecular Biology	0.09375	FALSE	TRUE	major, review, brain, learning, machine	32
